id,date,nday,h,m,foF2,h'Es,comp_1,comp_2
ak0028jvqcwp,2002-06-21,14.0,0,0,6.412999999999999,100.0,-0.30843959205937,-0.6743495809791988
ak0028jvqcwp,2002-06-21,14.0,0,30,5.925,101.0,-0.21839669238039047,-0.5487785803429057
ak0028jvqcwp,2002-06-21,14.0,1,0,6.05,96.0,-0.2382347789375423,-0.7478839568903171
ak0028jvqcwp,2002-06-21,14.0,1,30,5.95,93.0,-0.2082449351151671,-0.5766450615073015
ak0028jvqcwp,2002-06-21,14.0,2,0,7.55,95.0,-0.15262938223210623,-0.6975163864766561
ak0028jvqcwp,2002-06-21,14.0,2,30,5.95,93.0,-0.15797331878813373,-0.5775633822123427
ak0028jvqcwp,2002-06-21,14.0,3,0,5.75,88.0,-0.10716526600536969,-0.7969912877843602
ak0028jvqcwp,2002-06-21,14.0,3,30,5.45,95.0,-0.012200141454251094,-0.6168921039709273
ak0028jvqcwp,2002-06-21,14.0,4,0,8.05,100.0,-0.02181518836094916,-0.6771075201292283
ak0028jvqcwp,2002-06-21,14.0,4,30,5.65,130.0,0.09968813706823182,-0.5298302548501289
ak0028jvqcwp,2002-06-21,14.0,5,0,3.85,100.0,0.14198739875832136,-0.7973926400280235
ak0028jvqcwp,2002-06-21,14.0,5,30,5.15,115.0,0.20738684158153783,-0.4785001252082306
ak0028jvqcwp,2002-06-21,14.0,6,0,5.55,105.0,0.2863489932984955,-0.6216726676265771
ak0028jvqcwp,2002-06-21,14.0,6,30,5.85,135.0,0.40328358179991197,-0.4201977110233111
ak0028jvqcwp,2002-06-21,14.0,7,0,6.313,140.0,0.4537983547433472,-0.5871715624419683
ak0028jvqcwp,2002-06-21,14.0,7,30,5.65,130.0,0.5041111322223202,-0.3449191162498996
ak0028jvqcwp,2002-06-21,14.0,8,0,5.55,110.0,0.5811155492746843,-0.45180907946156057
ak0028jvqcwp,2002-06-21,14.0,8,30,5.35,95.0,0.5668087250353262,-0.25197345804687077
ak0028jvqcwp,2002-06-21,14.0,9,0,5.25,110.0,0.6397816658630525,-0.38335340382049987
ak0028jvqcwp,2002-06-21,14.0,9,30,5.65,90.0,0.5247750982892149,-0.09155926689691121
ak0028jvqcwp,2002-06-21,14.0,10,0,5.35,95.0,0.5755483859714537,-0.2724022732988977
ak0028jvqcwp,2002-06-21,14.0,10,30,5.35,95.0,0.629968860490296,0.01209094487239298
ak0028jvqcwp,2002-06-21,14.0,11,0,5.45,100.0,0.6560098155841703,-0.13082874292697366
ak0028jvqcwp,2002-06-21,14.0,11,30,5.4,77.0,0.5200677248237635,0.14593101081891732
ak0028jvqcwp,2002-06-21,14.0,12,0,6.0,91.0,0.41761433674432,-0.010008832906005518
ak0028jvqcwp,2002-06-21,14.0,12,30,6.15,90.0,0.41977366052850795,0.16511160276716644
ak0028jvqcwp,2002-06-21,14.0,13,0,5.95,107.0,0.3956161653328104,-0.0521770977468352
ak0028jvqcwp,2002-06-21,14.0,13,30,5.65,141.0,0.40341611764519353,0.10623995928532651
ak0028jvqcwp,2002-06-21,14.0,14,0,5.55,109.0,0.19398419125289987,-0.09746425665465677
ak0028jvqcwp,2002-06-21,14.0,14,30,5.55,93.0,0.13427461879094604,0.1097440912315596
ak0028jvqcwp,2002-06-21,14.0,15,0,5.225,93.0,0.04995214633775131,-0.14497507117397193
ak0028jvqcwp,2002-06-21,14.0,15,30,5.25,117.0,-0.027964768636733875,0.01867131927080702
ak0028jvqcwp,2002-06-21,14.0,16,0,5.55,85.0,-0.12321727120117668,-0.15185554293842654
ak0028jvqcwp,2002-06-21,14.0,16,30,5.55,90.0,-0.20377166824493384,-0.0187529740829833
ak0028jvqcwp,2002-06-21,14.0,17,0,7.15,95.0,-0.24681443843158465,-0.137947314510365
ak0028jvqcwp,2002-06-21,14.0,17,30,6.204,90.0,-0.29697437440788804,0.002881714813924595
ak0028jvqcwp,2002-06-21,14.0,18,0,6.225,90.0,-0.3250230666563541,-0.17431883235511647
ak0028jvqcwp,2002-06-21,14.0,18,30,6.107,95.0,-0.4321094171100408,-0.011796731865005728
ak0028jvqcwp,2002-06-21,14.0,19,0,6.2010000000000005,120.0,-0.40901678935697183,-0.19148425709531613
ak0028jvqcwp,2002-06-21,14.0,19,30,6.2010000000000005,115.0,-0.39276820725174216,0.014564342577726885
ak0028jvqcwp,2002-06-21,14.0,20,0,6.125,105.0,-0.48486257735358834,-0.15330899393600944
ak0028jvqcwp,2002-06-21,14.0,20,30,6.65,107.0,-0.4742049332017747,0.03901001225976276
ak0028jvqcwp,2002-06-21,14.0,21,0,6.55,100.0,-0.5635350318320643,-0.12055733847102304
ak0028jvqcwp,2002-06-21,14.0,21,30,6.35,90.0,-0.5738923238239194,0.04426448268670348
ak0028jvqcwp,2002-06-21,14.0,22,0,6.11,92.0,-0.6616602544748323,-0.143995758870255
ak0028jvqcwp,2002-06-21,14.0,22,30,6.35,108.0,-0.5681206258278217,0.026461955191593833
ak0028jvqcwp,2002-06-21,14.0,23,0,6.35,115.0,-0.5346390565831082,-0.1446907606183626
ak0028jvqcwp,2002-06-21,14.0,23,30,6.45,90.0,-0.6102689459660269,0.07410107176676846
